iso_a3,protected_forest_area_ha,pest_record_area_ha_gt0,pest_record_area_ha_gt1,pest_record_share_gt0,pest_record_share_gt1,n_protected_forest_cells,n_cells_with_pest_gt0,n_cells_with_pest_gt1,protected_forest_area_Mha,pest_record_area_Mha_gt0,pest_record_area_Mha_gt1,pest_record_share_pct_gt0,pest_record_share_pct_gt1,formal_en,continent
-99,22645108.2968344,14743978.9952552,14743978.9952552,0.651088915185992,0.651088915185992,6101,3946,3516,22.6451082968344,14.7439789952552,14.7439789952552,65.1088915185992,65.1088915185992,French Republic,Europe
-99,22645108.2968344,14743978.9952552,14743978.9952552,0.651088915185992,0.651088915185992,6101,3946,3516,22.6451082968344,14.7439789952552,14.7439789952552,65.1088915185992,65.1088915185992,Turkish Republic of Northern Cyprus,Asia
-99,22645108.2968344,14743978.9952552,14743978.9952552,0.651088915185992,0.651088915185992,6101,3946,3516,22.6451082968344,14.7439789952552,14.7439789952552,65.1088915185992,65.1088915185992,,Asia
-99,22645108.2968344,14743978.9952552,14743978.9952552,0.651088915185992,0.651088915185992,6101,3946,3516,22.6451082968344,14.7439789952552,14.7439789952552,65.1088915185992,65.1088915185992,Territory of Ashmore and Cartier Islands,Oceania
-99,22645108.2968344,14743978.9952552,14743978.9952552,0.651088915185992,0.651088915185992,6101,3946,3516,22.6451082968344,14.7439789952552,14.7439789952552,65.1088915185992,65.1088915185992,,Asia
PER,21895200.4521765,130681.998207089,130681.998207089,0.00596852257610176,0.00596852257610176,2604,32,14,21.8952004521765,0.130681998207089,0.130681998207089,0.596852257610176,0.596852257610176,Republic of Peru,South America
IDN,21872956.5445531,477315.015176007,477315.015176007,0.0218221534982599,0.0218221534982599,3239,111,52,21.8729565445531,0.477315015176007,0.477315015176007,2.18221534982599,2.18221534982599,Republic of Indonesia,Asia
MOZ,20900627.5947993,210179.158545522,210179.158545522,0.0100561170994607,0.0100561170994607,2230,22,8,20.9006275947993,0.210179158545522,0.210179158545522,1.00561170994607,1.00561170994607,Republic of Mozambique,Africa
COL,18871933.8953195,372481.319751391,372481.319751391,0.0197373158372375,0.0197373158372375,2909,146,101,18.8719338953195,0.372481319751391,0.372481319751391,1.97373158372375,1.97373158372375,Republic of Colombia,South America
DEU,14606529.0464308,11431071.9655816,11431071.9655816,0.782600159780935,0.782600159780935,3839,2975,2289,14.6065290464308,11.4310719655816,11.4310719655816,78.2600159780935,78.2600159780935,Federal Republic of Germany,Europe
